Timestamp,State,Mode,Probability,Confidence,InputIdleTime
2026-02-12 22:42:52.518,Active,Interactive,0.998,0.95,0.16
2026-02-12 22:42:52.587,Active,Interactive,0.997,0.95,0.23
2026-02-12 22:42:52.613,Active,Interactive,0.996,0.95,0.26
2026-02-12 22:42:52.645,Active,Interactive,0.994,0.95,0.29
2026-02-12 22:42:52.676,Active,Interactive,0.993,0.95,0.32
2026-02-12 22:42:52.706,Active,Interactive,0.991,0.95,0.35
2026-02-12 22:42:52.738,Active,Interactive,0.991,0.95,0.03
2026-02-12 22:42:52.769,Active,Interactive,0.991,0.95,0.03
2026-02-12 22:42:52.800,Active,Interactive,0.992,0.95,0.01
2026-02-12 22:42:52.831,Active,Interactive,0.992,0.95,0.04
2026-02-12 22:42:52.863,Active,Interactive,0.993,0.95,0.07
2026-02-12 22:42:52.895,Active,Interactive,0.994,0.95,0.1
2026-02-12 22:42:52.932,Active,Interactive,0.994,0.95,0.14
2026-02-12 22:42:52.959,Active,Interactive,0.995,0.95,0.17
2026-02-12 22:42:52.996,Active,Interactive,0.995,0.95,0.2
2026-02-12 22:42:53.019,Active,Interactive,0.996,0.95,0.23
2026-02-12 22:42:53.063,Active,Interactive,0.995,0.95,0.27
2026-02-12 22:42:53.098,Active,Interactive,0.993,0.95,0.31
2026-02-12 22:42:53.128,Active,Interactive,0.992,0.95,0.34
2026-02-12 22:42:53.160,Active,Interactive,0.99,0.95,0.37
2026-02-12 22:42:53.190,Active,Interactive,0.988,0.95,0.4
2026-02-12 22:42:53.221,Active,Interactive,0.987,0.95,0.43
2026-02-12 22:42:53.251,Active,Interactive,0.985,0.95,0.46
2026-02-12 22:42:53.300,Active,Interactive,0.984,0.95,0.51
2026-02-12 22:42:53.330,Active,Interactive,0.983,0.95,0.54
2026-02-12 22:42:53.367,Active,Interactive,0.981,0.95,0.58
2026-02-12 22:42:53.393,Active,Interactive,0.98,0.95,0.6
2026-02-12 22:42:53.423,Active,Interactive,0.981,0.95,0.0
2026-02-12 22:42:53.454,Active,Interactive,0.983,0.95,0.0
2026-02-12 22:42:53.486,Active,Interactive,0.985,0.95,0.01
2026-02-12 22:42:53.545,Active,Interactive,0.986,0.95,0.05
2026-02-12 22:42:53.565,Active,Interactive,0.988,0.95,0.07
2026-02-12 22:42:53.604,Active,Interactive,0.99,0.95,0.11
2026-02-12 22:42:53.626,Active,Interactive,0.991,0.95,0.13
2026-02-12 22:42:53.657,Active,Interactive,0.993,0.95,0.16
2026-02-12 22:42:53.689,Active,Interactive,0.995,0.95,0.19
2026-02-12 22:42:53.719,Active,Interactive,0.996,0.95,0.22
2026-02-12 22:42:53.783,Active,Interactive,0.995,0.95,0.28
2026-02-12 22:42:53.811,Active,Interactive,0.993,0.95,0.31
2026-02-12 22:42:53.847,Active,Interactive,0.992,0.95,0.35
2026-02-12 22:42:53.874,Active,Interactive,0.99,0.95,0.37
2026-02-12 22:42:53.908,Active,Interactive,0.988,0.95,0.41
2026-02-12 22:42:53.937,Active,Interactive,0.987,0.95,0.44
2026-02-12 22:42:53.968,Active,Interactive,0.985,0.95,0.47
2026-02-12 22:42:53.999,Active,Interactive,0.984,0.95,0.5
2026-02-12 22:42:54.029,Active,Interactive,0.982,0.95,0.53
2026-02-12 22:42:54.061,Active,Interactive,0.981,0.95,0.56
2026-02-12 22:42:54.091,Active,Interactive,0.98,0.95,0.59
2026-02-12 22:42:54.149,Active,Interactive,0.978,0.95,0.65
2026-02-12 22:42:54.170,Active,Interactive,0.977,0.95,0.67
2026-02-12 22:42:54.202,Active,Interactive,0.976,0.95,0.7
2026-02-12 22:42:54.232,Active,Interactive,0.975,0.95,0.73
2026-02-12 22:42:54.263,Active,Interactive,0.974,0.95,0.76
2026-02-12 22:42:54.295,Active,Interactive,0.972,0.95,0.8
2026-02-12 22:42:54.328,Active,Interactive,0.971,0.95,0.83
2026-02-12 22:42:54.358,Active,Interactive,0.97,0.95,0.86
2026-02-12 22:42:54.390,Active,Interactive,0.969,0.95,0.89
2026-02-12 22:42:54.421,Active,Interactive,0.968,0.95,0.92
2026-02-12 22:42:54.451,Active,Interactive,0.967,0.95,0.95
2026-02-12 22:42:54.481,Active,Interactive,0.966,0.95,0.98
2026-02-12 22:42:54.513,Active,Interactive,0.965,0.95,1.01
2026-02-12 22:42:54.565,Active,Non-Interactive,0.948,0.85,1.07
2026-02-12 22:42:54.592,Active,Non-Interactive,0.931,0.85,1.09
2026-02-12 22:42:54.631,Active,Interactive,0.934,0.95,0.0
2026-02-12 22:42:54.654,Active,Interactive,0.938,0.95,0.01
2026-02-12 22:42:54.686,Active,Interactive,0.941,0.95,0.03
2026-02-12 22:42:54.717,Active,Interactive,0.945,0.95,0.06
2026-02-12 22:42:54.748,Active,Interactive,0.948,0.95,0.09
2026-02-12 22:42:54.804,Active,Interactive,0.952,0.95,0.01
2026-02-12 22:42:54.826,Active,Interactive,0.956,0.95,0.03
2026-02-12 22:42:54.868,Active,Interactive,0.96,0.95,0.03
2026-02-12 22:42:54.888,Active,Interactive,0.98,0.95,0.05
2026-02-12 22:42:54.933,Active,Interactive,1.0,0.95,0.1
2026-02-12 22:42:54.966,Active,Interactive,0.999,0.95,0.13
2026-02-12 22:42:54.998,Active,Interactive,0.999,0.95,0.16
2026-02-12 22:42:55.030,Active,Interactive,0.998,0.95,0.2
2026-02-12 22:42:55.060,Active,Interactive,0.997,0.95,0.23
2026-02-12 22:42:55.111,Active,Interactive,0.995,0.95,0.28
2026-02-12 22:42:55.137,Active,Interactive,0.994,0.95,0.3
2026-02-12 22:42:55.173,Active,Interactive,0.992,0.95,0.34
2026-02-12 22:42:55.199,Active,Interactive,0.991,0.95,0.37
2026-02-12 22:42:55.230,Active,Interactive,0.989,0.95,0.4
2026-02-12 22:42:55.262,Active,Interactive,0.987,0.95,0.43
2026-02-12 22:42:55.293,Active,Interactive,0.986,0.95,0.46
2026-02-12 22:42:55.350,Active,Interactive,0.984,0.95,0.52
2026-02-12 22:42:55.371,Active,Interactive,0.983,0.95,0.54
2026-02-12 22:42:55.414,Active,Interactive,0.981,0.95,0.58
2026-02-12 22:42:55.449,Active,Interactive,0.98,0.95,0.61
2026-02-12 22:42:55.479,Active,Interactive,0.978,0.95,0.65
2026-02-12 22:42:55.511,Active,Interactive,0.98,0.95,0.03
2026-02-12 22:42:55.541,Active,Interactive,0.982,0.95,0.0
2026-02-12 22:42:55.572,Active,Interactive,0.983,0.95,0.03
2026-02-12 22:42:55.603,Active,Interactive,0.985,0.95,0.06
2026-02-12 22:42:55.633,Active,Interactive,0.987,0.95,0.09
2026-02-12 22:42:55.664,Active,Interactive,0.989,0.95,0.12
2026-02-12 22:42:55.695,Active,Interactive,0.991,0.95,0.15
2026-02-12 22:42:55.728,Active,Interactive,0.992,0.95,0.19
2026-02-12 22:42:55.767,Active,Interactive,0.994,0.95,0.23
2026-02-12 22:42:55.789,Active,Interactive,0.996,0.95,0.25
2026-02-12 22:42:55.828,Active,Interactive,0.994,0.95,0.29
2026-02-12 22:42:55.852,Active,Interactive,0.993,0.95,0.31
2026-02-12 22:42:55.893,Active,Interactive,0.991,0.95,0.35
2026-02-12 22:42:55.916,Active,Interactive,0.989,0.95,0.37
2026-02-12 22:42:55.960,Active,Interactive,0.988,0.95,0.42
2026-02-12 22:42:55.994,Active,Interactive,0.986,0.95,0.45
2026-02-12 22:42:56.025,Active,Interactive,0.987,0.95,0.0
2026-02-12 22:42:56.056,Active,Interactive,0.988,0.95,0.03
2026-02-12 22:42:56.087,Active,Interactive,0.989,0.95,0.06
2026-02-12 22:42:56.135,Active,Interactive,0.989,0.95,0.11
2026-02-12 22:42:56.165,Active,Interactive,0.99,0.95,0.14
2026-02-12 22:42:56.200,Active,Interactive,0.991,0.95,0.18
2026-02-12 22:42:56.229,Active,Interactive,0.992,0.95,0.02
2026-02-12 22:42:56.258,Active,Interactive,0.994,0.95,0.01
2026-02-12 22:42:56.289,Active,Interactive,0.996,0.95,0.04
2026-02-12 22:42:56.321,Active,Interactive,0.998,0.95,0.07
2026-02-12 22:42:56.371,Active,Interactive,0.998,0.95,0.02
2026-02-12 22:42:56.399,Active,Interactive,0.998,0.95,0.05
2026-02-12 22:42:56.435,Active,Interactive,0.998,0.95,0.09
2026-02-12 22:42:56.462,Active,Interactive,0.998,0.95,0.11
2026-02-12 22:42:56.494,Active,Interactive,0.998,0.95,0.14
2026-02-12 22:42:56.524,Active,Interactive,0.998,0.95,0.18
2026-02-12 22:42:56.554,Active,Interactive,0.997,0.95,0.21
2026-02-12 22:42:56.614,Active,Interactive,0.997,0.95,0.01
2026-02-12 22:42:56.646,Active,Interactive,0.997,0.95,0.04
2026-02-12 22:42:56.680,Active,Interactive,0.997,0.95,0.03
